央视,#genre#
湖北卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.114:5140
黑龙江卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.115:5140
广西卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.49:5140
吉林卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.48:5140
深圳卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.101:5140
广东卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.102:5140

北京卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.4:5146
浙江卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.33:5146
湖南卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.5:5146
江苏卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.18:5146
安徽卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.92:5146
东方卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.218:5146
东南卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.104:5146
天津卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.141:5146
山东卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.142:5146
江西卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.219:5146
湖北卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.93:5146
辽宁卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.103:5146
黑龙江卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.6:5146
四川卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.215:5146
河南卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.229:5146
重庆卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.162:5146
河北卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.214:5146
广西卫视,http://108m64s098.yicp.fun:8808/rtp/239.253.43.36:5146
吉林卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.111:5146

广东,#genre#
大湾区卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.215:5146
广东民生,http://108m64s098.yicp.fun:8808/rtp/239.77.0.225:5146
广东珠江,http://108m64s098.yicp.fun:8808/rtp/239.77.0.1:5146
广东新闻,http://108m64s098.yicp.fun:8808/rtp/239.77.0.173:5146
广东体育,http://108m64s098.yicp.fun:8808/rtp/239.77.0.112:5146
广东卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.19:5146
深圳卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.3:5146
HZTV1,http://108m64s098.yicp.fun:8808/rtp/239.77.1.232:5146

大湾区卫视,http://m0668.3322.org:4000/rtp/239.77.0.215:5146
广东民生,http://m0668.3322.org:4000/rtp/239.77.0.225:5146
广东珠江,http://m0668.3322.org:4000/rtp/239.77.0.1:5146
广东新闻,http://m0668.3322.org:4000/rtp/239.77.0.173:5146
广东体育,http://m0668.3322.org:4000/rtp/239.77.0.112:5146
广东卫视,http://m0668.3322.org:4000/rtp/239.77.1.19:5146
深圳卫视,http://m0668.3322.org:4000/rtp/239.77.1.3:5146
HZTV1,http://m0668.3322.org:4000/rtp/239.77.1.232:5146

电影,#genre#
神乐影片1,http://epg.112114.xyz/douyu/122402
神乐影片2,http://epg.112114.xyz/douyu/85894
可乐电影,http://epg.112114.xyz/douyu/20415
贝爷MAX厅,http://epg.112114.xyz/douyu/4332
贝爷影厅1,http://epg.112114.xyz/douyu/252802
贝爷影厅2,http://epg.112114.xyz/douyu/36337
特辑电影,http://epg.112114.xyz/douyu/3637778
吃米滴虫,http://epg.112114.xyz/douyu/315457
粤语电影,http://epg.112114.xyz/douyu/5033502
豆瓣高分,http://epg.112114.xyz/douyu/8770422
华语电影,http://epg.112114.xyz/douyu/3928
蓝翔电影,http://epg.112114.xyz/douyu/276200
